true_profile,pct_resolved,session
multiple_winners,0.17142857142857143,12
no_differential,0.04,12
one_winner_strong,0.46808510638297873,12
one_winner_weak,0.15625,12
multiple_winners,0.5261904761904762,16
no_differential,0.08,16
one_winner_strong,0.6595744680851063,16
one_winner_weak,0.328125,16
multiple_winners,0.7928571428571428,20
no_differential,0.25333333333333335,20
one_winner_strong,0.8014184397163121,20
one_winner_weak,0.390625,20
multiple_winners,0.8785714285714286,24
no_differential,0.3333333333333333,24
one_winner_strong,0.8581560283687943,24
one_winner_weak,0.515625,24
multiple_winners,0.9095238095238095,28
no_differential,0.4666666666666667,28
one_winner_strong,0.9078014184397163,28
one_winner_weak,0.59375,28
multiple_winners,0.930952380952381,32
no_differential,0.5733333333333334,32
one_winner_strong,0.9432624113475178,32
one_winner_weak,0.640625,32
multiple_winners,0.95,36
no_differential,0.64,36
one_winner_strong,0.9574468085106383,36
one_winner_weak,0.734375,36
overall,0.21571428571428572,12
overall,0.48714285714285716,16
overall,0.7,20
overall,0.7828571428571428,24
overall,0.8328571428571429,28
overall,0.8685714285714285,32
overall,0.8985714285714286,36
